部门编码,设备编码,通道号,设备号,微软标签,KEPWARE标签名,Address,Data Type,Description,备注
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_J7205_1_Remote,DL_KZS5_CY_J7205_1_Remote,DB12.DBX352.2,boolean,送风机远程/就地,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_J7205_1_Fault,DL_KZS5_CY_J7205_1_Fault,DB12.DBX352.3,boolean,送风机故障,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
